HC,-0.614184569,-0.377987661,-0.31758185,-0.302882031,-0.268239981,-0.32460874,-0.262664171,-0.168702492,0.010386503,0.102775473
AD,-1.702924186,-1.336998698,-1.220815667,-1.186499909,-1.184684492,-1.173612973,-1.004437058,-0.834495487,-0.566828933,-0.382215318
PD,-1.734379686,-1.365038388,-1.355563782,-1.353233051,-1.280496401,-1.210936896,-1.042402839,-0.891805115,-0.702848342,-0.594255478
CSVD,-1.9898244,-1.760129495,-1.666013258,-1.646087378,-1.574818877,-1.465796889,-1.20469898,-0.979637101,-0.729558837,-0.501780232
MS,-1.968631457,-1.380290221,-1.280121452,-1.250249536,-1.183128375,-1.090099844,-0.933238576,-0.794641768,-0.659498492,-0.543561062
