ID,Ring2,Ring3,Ring4,Ring5,Ring6,Ring7,Ring8,Ring9,Ring10,Ring11
Sub00163,0.605123683,0.633537682,0.637070156,0.647751838,0.652387837,0.622240469,0.595154437,0.592352488,0.590122951,0.597965374
Sub00164,0.693230061,0.668835827,0.661850219,0.662044782,0.664297654,0.654673607,0.637906325,0.628986873,0.640985103,0.65350755
Sub00165,0.632290577,0.615414838,0.626190753,0.631107223,0.643241295,0.645025004,0.631398406,0.625381947,0.632128209,0.648753218
Sub00166,0.651793739,0.630713618,0.627822755,0.631817602,0.640118744,0.638406351,0.617762776,0.604378754,0.611179512,0.625435142
Sub00167,0.678432842,0.656050618,0.654287621,0.663402176,0.670451757,0.665450912,0.642362783,0.629086397,0.632546068,0.646237385
Sub00168,0.659173779,0.645395053,0.630028144,0.628162451,0.62465406,0.6211708,0.613596948,0.604419797,0.605693005,0.609596294
Sub00169,0.650678989,0.639074226,0.649243017,0.650730534,0.653245057,0.637384345,0.62648419,0.620010648,0.633938761,0.649935102
Sub00170,0.640471747,0.627743639,0.63232401,0.63180409,0.640778503,0.635165704,0.615779967,0.608496719,0.620922817,0.636838727
Sub00171,0.623691525,0.604867406,0.62229953,0.629456668,0.634211538,0.622875181,0.601378858,0.590893143,0.601298751,0.612801215
Sub00172,0.632771865,0.626882681,0.637843996,0.636724762,0.643854246,0.637134592,0.619446626,0.618142042,0.626071514,0.629069809
Sub00173,0.67317265,0.669166916,0.68255284,0.694233349,0.697210497,0.688184806,0.675659787,0.669574555,0.678453321,0.690497747
Sub00174,0.686259706,0.667468004,0.682865768,0.684802432,0.681040567,0.668463141,0.644218321,0.629920082,0.635772083,0.657968797
Sub00175,0.70483445,0.69072796,0.694528258,0.697061574,0.704019546,0.692086433,0.680569547,0.673580053,0.680281697,0.683809044
Sub00176,0.653622643,0.660544353,0.647717371,0.639989077,0.643511553,0.634639067,0.620199898,0.613554711,0.622939746,0.632576622
Sub00177,0.763722762,0.742113462,0.747326653,0.738307497,0.734192953,0.717421589,0.69706427,0.679991119,0.681608718,0.694317153
Sub00178,0.717033955,0.687347402,0.685156468,0.688397016,0.687983368,0.679668211,0.658929072,0.645685832,0.650571961,0.663306433
Sub00179,0.674947809,0.653933339,0.64855065,0.645765142,0.649454388,0.641069489,0.617738349,0.602243907,0.613380958,0.627935351
Sub00180,0.649803094,0.623392684,0.628136607,0.632933076,0.644292254,0.635267892,0.610183414,0.597409281,0.601221005,0.618486788
Sub00181,0.669426034,0.646876642,0.651191382,0.653904434,0.660349603,0.642284232,0.629592247,0.619792808,0.6314674,0.644575112
Sub00182,0.689576623,0.673597315,0.673737473,0.663513352,0.66267363,0.654121731,0.637804194,0.629573501,0.638795277,0.646647801
Sub00183,0.656589326,0.644442189,0.652101136,0.656007339,0.654776873,0.64170515,0.620639827,0.607474473,0.607670644,0.619442724
Sub00184,0.669550796,0.648780351,0.645157332,0.640413497,0.640842394,0.633978576,0.619539895,0.609167737,0.616960995,0.63043483
Sub00185,0.608539068,0.59355185,0.606909391,0.608170619,0.611395582,0.598004511,0.58372488,0.580261118,0.598278273,0.622446759
Sub00186,0.67246546,0.66146058,0.66927906,0.665569828,0.667502702,0.656477207,0.638495979,0.629174444,0.637671097,0.650133345
Sub00187,0.619553925,0.625325845,0.633535463,0.639071151,0.645553291,0.63138568,0.623060541,0.619638153,0.63816229,0.643997249
Sub00188,0.677673726,0.668631761,0.680479657,0.686635822,0.691592042,0.68206612,0.671857053,0.655254574,0.655290677,0.65555131
Sub00189,0.617762182,0.611565891,0.626985902,0.637208826,0.640302515,0.6228358,0.607759852,0.603267713,0.61800739,0.630909508
Sub00190,0.746941644,0.729339452,0.718911953,0.715408233,0.715752745,0.70847346,0.687469579,0.668056807,0.667268251,0.671043885
Sub00191,0.671540423,0.64221905,0.645282136,0.652089861,0.646684569,0.63086345,0.619614927,0.608218567,0.618792622,0.634702111
Sub00192,0.652150671,0.660350809,0.679096041,0.685784434,0.687531589,0.671809968,0.652386565,0.640747641,0.649967575,0.652668845
